target,molecule_id,smiles
ERa,CHEMBL100231,CC(C)c1ccc(cc1)N2CCc3cc(O)ccc3C2(C)c4ccc(OCCN5CCCCC5)cc4
ERa,CHEMBL10041,CC\C(=C(/c1ccccc1)\c2ccc(OCCN(C)C)cc2)\c3ccc(O)cc3
ERa,CHEMBL100595,CC(C)c1cccc(c1)N2CCc3cc(O)ccc3C2(C)c4ccc(OCCN5CCCCC5)cc4
ERa,CHEMBL100617,CC1(N(CCc2cc(O)ccc12)c3cccc(O)c3)c4ccc(OCCN5CCCCC5)cc4
ERa,CHEMBL100763,CC1(N(CCc2cc(O)ccc12)c3ccc(Cl)cc3)c4ccc(OCCN5CCCC5)cc4
ERa,CHEMBL101083,CC1(N(CCc2cc(O)ccc12)c3ccc(F)cc3)c4ccc(OCCN5CCCCC5)cc4
ERa,CHEMBL101382,Oc1ccc2C(N(CCc2c1)c3ccccc3)c4ccc(OCCN5CCCCC5)cc4
ERa,CHEMBL101719,CN(C)c1cccc(c1)N2CCc3cc(O)ccc3C2(C)c4ccc(OCCN5CCCCC5)cc4
ERa,CHEMBL101807,CC1(N(CCc2cc(O)ccc12)c3ccccc3)c4ccc(OCCN5CCCCC5)cc4
ERa,CHEMBL101997,CC1(N(CCc2cc(O)ccc12)c3ccc(F)cc3)c4ccc(OCCN5CCCC5)cc4
ERa,CHEMBL103294,CC1(N(CCc2cc(O)ccc12)c3ccc(Cl)cc3)c4ccc(OCCN5CCCCC5)cc4
ERa,CHEMBL103305,CC1(N(CCc2cc(O)ccc12)c3cccc(Cl)c3)c4ccc(OCCN5CCCCC5)cc4
ERa,CHEMBL103650,Oc1ccc2C(N(CCc2c1)c3ccccc3)c4ccc(F)cc4
ERa,CHEMBL104416,CC\C(=C(\c1ccc(OCC(=O)O)cc1)/c2cccc(O)c2)\c3ccccc3
ERa,CHEMBL104560,CC(C)OC(=O)Nc1cccc(Cl)c1
ERa,CHEMBL10560,CC[C@@]12CC[C@@](O)(C[C@H]1CCc3cc(O)ccc23)C#CC
ERa,CHEMBL1062,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
ERa,CHEMBL106773,CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCC(=O)O)cc2)\c3ccccc3
ERa,CHEMBL107,COC1=CC=C2C(=CC1=O)[C@H](CCc3cc(OC)c(OC)c(OC)c23)NC(=O)C
ERa,CHEMBL1076306,COc1cc2[C@H]3CC[C@@]4(C)[C@@H](CCCC4=O)[C@@H]3CCc2cc1O
ERa,CHEMBL1078384,C[C@]12CC[C@H]3C(=CCc4cc(O)ccc34)[C@@H]1CC[C@@]2(O)C#C
ERa,CHEMBL1081361,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)c(Cl)cc34)[C@@H]1CCCC2=O
ERa,CHEMBL1082224,Oc1ccc2C3=C(CCOc2c1)c4ccc(F)cc4O[C@@H]3c5ccc(OCCN6CCCCCC6)cc5
ERa,CHEMBL1082420,Oc1ccc2C(=O)C(=C(Oc2c1)C(F)(F)F)c3ccccc3Cl
ERa,CHEMBL1082421,Cc1cccc(OC2=C(Oc3cc(O)ccc3C2=O)C(F)(F)F)c1
ERa,CHEMBL1082422,CCOC(=O)C1=C(N)Oc2cc(O)ccc2C1c3ccc(F)cc3F
ERa,CHEMBL1082424,Oc1cccc2c(OC(=O)c3ccc(Cl)cc3Cl)cccc12
ERa,CHEMBL1082528,Oc1ccc2C3=C(CCOc2c1)c4ccc(F)cc4O[C@H]3c5ccc(OCCN6CCCCCC6)cc5
ERa,CHEMBL1082529,CN(C)CCOc1ccc(cc1)[C@H]2Oc3cc(O)ccc3C4=C2c5ccccc5OCC4
ERa,CHEMBL1082539,Oc1ccc2C3=C(CCOc2c1)c4ccccc4O[C@@H]3c5ccc(OCCN6CCCCCC6)cc5
ERa,CHEMBL1082742,Cc1ccc(cc1)C(=O)C2=C(O)C(=O)N(C2c3ccc(Br)cc3)c4ccc(O)cc4
ERa,CHEMBL1082743,COc1ccc(cc1)C(=O)Oc2cccc3c(O)cccc23
ERa,CHEMBL1082864,COc1ccc2C3=C([C@@H](Oc2c1)c4ccc(OCCN5CCCCC5)cc4)c6ccc(O)cc6OCC3
ERa,CHEMBL1083178,Oc1ccc2C3=C(CCOc2c1)c4ccc(O)cc4O[C@@H]3c5ccc(OCCN6CCSCC6)cc5
ERa,CHEMBL1083179,Oc1ccc2C3=C(CCOc2c1)c4ccc(O)cc4O[C@H]3c5ccc(OCCN6CCSCC6)cc5
ERa,CHEMBL1083186,CN(C)CCOc1ccc(cc1)[C@H]2Oc3cc(O)ccc3C4=C2c5ccc(O)cc5OCC4
ERa,CHEMBL1083187,OC(=O)CCOc1ccc(cc1)[C@H]2Oc3cc(O)ccc3C4=C2c5ccc(O)cc5OCC4
ERa,CHEMBL1083188,OC(=O)CCOc1ccc(cc1)[C@@H]2Oc3cc(O)ccc3C4=C2c5ccc(O)cc5OCC4
ERa,CHEMBL1083194,Oc1ccc2C3=C(CCOc2c1)c4ccc(O)cc4O[C@@H]3c5ccc(OCCN6C(=O)CCC6=O)cc5
ERa,CHEMBL1083881,Oc1ccc(cc1)N2C(=O)c3ccc(Br)cc3C2=O
ERa,CHEMBL1083981,COC(=O)C(C)N1C(=O)S\C(=C\c2ccc(O)c(Cl)c2)\C1=O
ERa,CHEMBL1084120,CCN(CC)CCOc1ccc(cc1)[C@@H]2Oc3cc(F)ccc3C4=C2c5ccc(O)cc5OCC4
ERa,CHEMBL1084127,CN(C)CCOc1ccc(cc1)[C@@H]2Oc3ccccc3C4=C2c5ccc(O)cc5OCC4
ERa,CHEMBL1084128,CCN(CC)CCOc1ccc(cc1)[C@H]2Oc3ccccc3C4=C2c5ccc(O)cc5OCC4
ERa,CHEMBL1084129,CCN(CC)CCOc1ccc(cc1)[C@@H]2Oc3ccccc3C4=C2c5ccc(O)cc5OCC4
ERa,CHEMBL1084264,Cc1ccccc1C2=C(Oc3cc(O)ccc3C2=O)C(F)(F)F
ERa,CHEMBL1084265,COc1cccc2Oc3cc(O)ccc3C(=O)c12
ERa,CHEMBL1084441,Oc1ccc(NCc2ccccc2OCc3ccccc3F)cc1
ERa,CHEMBL1084535,Oc1cccc(c1)C(=O)OCC(=O)c2ccc(Cl)cc2
ERa,CHEMBL1084913,OCCCOc1ccc(cc1)C2Oc3cc(O)ccc3C4=C2c5ccc(O)cc5OCC4
ERa,CHEMBL1084922,CN1CCN(CCOc2ccc(cc2)[C@H]3Oc4cc(O)ccc4C5=C3c6ccc(O)cc6OCC5)CC1
ERa,CHEMBL1085161,COC(=O)COc1ccc(cc1)C2Oc3cc(O)ccc3C4=C2c5ccc(O)cc5OCC4
ERa,CHEMBL1085172,CN1CCN(CCOc2ccc(cc2)[C@@H]3Oc4cc(O)ccc4C5=C3c6ccc(O)cc6OCC5)CC1
ERa,CHEMBL1085429,COc1ccc2C3=C(CCOc2c1)c4ccc(OC)cc4O[C@@H]3c5ccc(OCCN6CCCCC6)cc5
ERa,CHEMBL1085668,CN(C)CCOc1ccc(cc1)[C@@H]2Oc3cc(O)ccc3C4=C2c5ccc(O)cc5OCC4
ERa,CHEMBL1085669,CC(C)N(CCOc1ccc(cc1)[C@H]2Oc3cc(O)ccc3C4=C2c5ccc(O)cc5OCC4)C(C)C
ERa,CHEMBL1085899,CC(C)N(CCOc1ccc(cc1)[C@@H]2Oc3cc(O)ccc3C4=C2c5ccc(O)cc5OCC4)C(C)C
ERa,CHEMBL1086389,CN(C)CCOc1ccc(cc1)[C@H]2Oc3ccccc3C4=C2c5ccc(O)cc5OCC4
ERa,CHEMBL1086644,Oc1ccc2C3=C(CCCOc2c1)c4ccc(O)cc4OC3c5ccc(OCCN6CCCCC6)cc5
ERa,CHEMBL1086652,Oc1ccc2C3=C([C@@H](Oc2c1)c4ccc(OCCN5CCCCC5)cc4)c6ccccc6OCC3
ERa,CHEMBL1086774,Oc1ccc2C3=C(CCOc2c1)c4ccc(O)cc4O[C@H]3c5ccc(OCCN6CCCCCC6)cc5
ERa,CHEMBL1086775,Oc1ccc2C3=C(CCOc2c1)c4ccc(O)cc4O[C@@H]3c5ccc(OCCN6CCCC6)cc5
ERa,CHEMBL1086776,Oc1ccc2C3=C(CCOc2c1)c4ccc(O)cc4O[C@H]3c5ccc(OCCN6CCCC6)cc5
ERa,CHEMBL1087040,Oc1ccc2C3=C(CCOc2c1)c4ccc(O)cc4O[C@@H]3c5cccc(OCCN6CCCCC6)c5
ERa,CHEMBL1087041,Oc1ccc2C3=C(CCOc2c1)c4ccc(O)cc4O[C@H]3c5cccc(OCCN6CCCCC6)c5
ERa,CHEMBL1087252,CC(C)CC1=C(N(Cc2ccc3ccccc3c2)C(=O)C(=C1)O)c4ccnc(Cc5ccccc5)c4
ERa,CHEMBL1087288,Oc1ccc2C3=C([C@H](Oc2c1)c4ccc(OCCN5CCCCCC5)cc4)c6ccccc6OCC3
ERa,CHEMBL1087289,Oc1ccc2C3=C([C@H](Oc2c1)c4ccc(OCCN5CCCCC5)cc4)c6ccccc6OCC3
ERa,CHEMBL1087297,Oc1ccc2C3=C(CCOc2c1)c4ccccc4O[C@H]3c5ccc(OCCN6CCCCCC6)cc5
ERa,CHEMBL1087298,Oc1ccc2C3=C(CCOc2c1)c4ccccc4O[C@@H]3c5ccc(OCCN6CCCCC6)cc5
ERa,CHEMBL1087418,Oc1ccc2C3=C([C@@H](Oc2c1)c4ccc(OCCN5CCCCCC5)cc4)c6ccccc6OCC3
ERa,CHEMBL1087419,Oc1ccc2C3=C(CCOc2c1)c4ccc(O)cc4OC3c5ccc(OCCN6CCCCC6)cc5
ERa,CHEMBL1087426,Oc1ccc2C3=C(CCOc2c1)c4ccccc4O[C@H]3c5ccc(OCCN6CCCCC6)cc5
ERa,CHEMBL1087545,Oc1ccc2C3=C(CCOc2c1)c4ccc(O)cc4O[C@@H]3c5ccc(OCCN6CCCCCC6)cc5
ERa,CHEMBL1087546,Oc1ccc2C3=C(CCOc2c1)c4ccc(O)cc4O[C@@H]3c5ccc(OCCCN6CCCCC6)cc5
ERa,CHEMBL1087547,Oc1ccc2C3=C(CCOc2c1)c4ccc(O)cc4O[C@H]3c5ccc(OCCCN6CCCCC6)cc5
ERa,CHEMBL1087557,Oc1ccc2C3=C(CCOc2c1)c4ccc(O)cc4O[C@@H]3c5ccc(OCCCN6C(=O)CCC6=O)cc5
ERa,CHEMBL1087682,Oc1ccc2C3=C(CCOc2c1)c4ccc(O)cc4O[C@H]3c5ccc(OCCCN6C(=O)CCC6=O)cc5
ERa,CHEMBL1087683,OCCOc1ccc(cc1)C2Oc3cc(O)ccc3C4=C2c5ccc(O)cc5OCC4
ERa,CHEMBL1087811,Oc1ccc2C3=C(CCOc2c1)c4ccc(O)cc4O[C@@H]3c5ccc(OCCN6CCOCC6)cc5
ERa,CHEMBL1087812,Oc1ccc2C3=C(CCOc2c1)c4ccc(O)cc4O[C@H]3c5ccc(OCCN6CCOCC6)cc5
ERa,CHEMBL1087919,CN(C)CCOc1ccc(cc1)[C@@H]2Oc3cc(O)ccc3C4=C2c5ccccc5OCC4
ERa,CHEMBL1088337,Oc1ccc2C3=C(CCOc2c1)c4ccc(O)cc4O[C@H]3c5ccc(OCCN6C(=O)CCC6=O)cc5
ERa,CHEMBL1088343,COc1ccc2C3=C(CCOc2c1)c4ccc(O)cc4O[C@@H]3c5ccc(OCCN6CCCCC6)cc5
