Structure [idcode]	Molecule Name	PUBCHEM_COMPOUND_CID	PUBCHEM_IUPAC_CAS_NAME	PUBCHEM_IUPAC_SYSTEMATIC_NAME	PUBCHEM_IUPAC_INCHI	PUBCHEM_IUPAC_INCHIKEY	PUBCHEM_EXACT_MASS	PUBCHEM_MOLECULAR_FORMULA	PUBCHEM_MOLECULAR_WEIGHT	Stable	Reference for Prcnt Cmpd Left_AID_num	Prcnt Cmpd Left MLM	Name	Qualifier for Prcnt Cmpd Left	
fegHa@LD|FS`AE@cIEELmEhhdddkIadRisSSSUSUUUThUQD`@	44563195	44563195	(3S,5S)-N-[5-[(5-tert-butyl-2-oxazolyl)methylthio]-2-thiazolyl]-5-methyl-3-piperidinecarboxamide	(3S,5S)-N-[5-[(5-tert-butyl-1,3-oxazol-2-yl)methylsulfanyl]-1,3-thiazol-2-yl]-5-methyl-piperidine-3-carboxamide	InChI=1S/C18H26N4O2S2/c1-11-5-12(7-19-6-11)16(23)22-17-21-9-15(26-17)25-10-14-20-8-13(24-14)18(2,3)4/h8-9,11-12,19H,5-7,10H2,1-4H3,(H,21,22,23)/t11-,12-/m0/s1	SSMMYRQDZBSVCY-RYUDHWBXSA-N	394.15	C18H26N4O2S2	394.555	0	409968	0			
fegHa@LD|FS`AE@cIEELmEhhdddkIadRisSSSUSUUUThThh@ !Bs}ITaDz@mwv@LWvH?g|lFHa}mwv@L_y?mpITa@Jwmwvw_]CMpJZw@k\Bb@JH@`Jw_X`	44563194	44563194	(3S,5R)-N-[5-[(5-tert-butyl-2-oxazolyl)methylthio]-2-thiazolyl]-5-methyl-3-piperidinecarboxamide	(3S,5R)-N-[5-[(5-tert-butyl-1,3-oxazol-2-yl)methylsulfanyl]-1,3-thiazol-2-yl]-5-methyl-piperidine-3-carboxamide	InChI=1S/C18H26N4O2S2/c1-11-5-12(7-19-6-11)16(23)22-17-21-9-15(26-17)25-10-14-20-8-13(24-14)18(2,3)4/h8-9,11-12,19H,5-7,10H2,1-4H3,(H,21,22,23)/t11-,12+/m1/s1	SSMMYRQDZBSVCY-NEPJUHHUSA-N	394.149718	C18H26N4O2S2	394.55464	0	409968	33	44563194		
fegHa@LD|FS`AE@cIEELmEhhdddkIadRisSSSUSUUUT`@@ !Bs}ITaDz@mwv@LWvH?g|lFHa}mwv@L_y?mpITa@Jwmwvw_]CMpJZw@k\Bb@JH@`Jw_X`	44563158	44563158	N-[5-[(5-tert-butyl-2-oxazolyl)methylthio]-2-thiazolyl]-5-methyl-3-piperidinecarboxamide	N-[5-[(5-tert-butyl-1,3-oxazol-2-yl)methylsulfanyl]-1,3-thiazol-2-yl]-5-methyl-piperidine-3-carboxamide	InChI=1S/C18H26N4O2S2/c1-11-5-12(7-19-6-11)16(23)22-17-21-9-15(26-17)25-10-14-20-8-13(24-14)18(2,3)4/h8-9,11-12,19H,5-7,10H2,1-4H3,(H,21,22,23)	SSMMYRQDZBSVCY-UHFFFAOYSA-N	394.149718	C18H26N4O2S2	394.55464	0	409968	27	44563158		
fegHa@LD|FS`AE@aJYmyyeU}kCHeSffffjfjjji@@ !Bs}ITaDz@mwv@LWvH?g|lFHa}mwv@L_y?mpITa@Jwmwvw_]CMpJZw@h`BmwvH@`Jw_X`	44563157	44563157	N-[5-[(5-tert-butyl-2-oxazolyl)methylthio]-2-thiazolyl]-6-methyl-3-piperidinecarboxamide	N-[5-[(5-tert-butyl-1,3-oxazol-2-yl)methylsulfanyl]-1,3-thiazol-2-yl]-6-methyl-piperidine-3-carboxamide	InChI=1S/C18H26N4O2S2/c1-11-5-6-12(7-19-11)16(23)22-17-21-9-15(26-17)25-10-14-20-8-13(24-14)18(2,3)4/h8-9,11-12,19H,5-7,10H2,1-4H3,(H,21,22,23)	QALGDBRHRSNPSF-UHFFFAOYSA-N	394.149718	C18H26N4O2S2	394.55464	0	409968	8	44563157		
fegHa@LD|FS`AE@cIEELmEhhhddSIabZyKSSSUSUUUT`@@ !Bs}ITaDz@mwv@LWvH?g|lFHa}mwv@L_y?mpITa@JwmwvH_[]}tLw@ik\Bb@JH@`Jw_X`	44563156	44563156	N-[5-[(5-tert-butyl-2-oxazolyl)methylthio]-2-thiazolyl]-2-methyl-3-piperidinecarboxamide	N-[5-[(5-tert-butyl-1,3-oxazol-2-yl)methylsulfanyl]-1,3-thiazol-2-yl]-2-methyl-piperidine-3-carboxamide	InChI=1S/C18H26N4O2S2/c1-11-12(6-5-7-19-11)16(23)22-17-21-9-15(26-17)25-10-14-20-8-13(24-14)18(2,3)4/h8-9,11-12,19H,5-7,10H2,1-4H3,(H,21,22,23)	LOUYPYUMEQLFIO-UHFFFAOYSA-N	394.149718	C18H26N4O2S2	394.55464	0	409968	2	44563156		
fcoHa@LD|VS`AE@cIEELmEhhddicEIadRisSSSUSUUUUR@@ !BYuMeXF\l?g|lFG?~bOwMtH`B?g|lFHa}mwueX@C~?g?~_q`lFfBw?Xc}?`BH@oy??`@@?g?~	44563155	44563155	N-[5-[(5-tert-butyl-2-oxazolyl)methylthio]-2-thiazolyl]-2-propan-2-yl-4-piperidinecarboxamide	N-[5-[(5-tert-butyl-1,3-oxazol-2-yl)methylsulfanyl]-1,3-thiazol-2-yl]-2-propan-2-yl-piperidine-4-carboxamide	InChI=1S/C20H30N4O2S2/c1-12(2)14-8-13(6-7-21-14)18(25)24-19-23-10-17(28-19)27-11-16-22-9-15(26-16)20(3,4)5/h9-10,12-14,21H,6-8,11H2,1-5H3,(H,23,24,25)	SYGZEVSXMXZNJX-UHFFFAOYSA-N	422.181018	C20H30N4O2S2	422.6078	0	409968	1	44563155		
fegHa@LD|FS`AE@cIEELmEhhdddkIadRisSSSUSUUUThUHp@ !Bs}ITaDz@mwv@LWvH?g|lFHa}mwv@L_y?mpITa@Jwmwvw_]CMpJZw@k\Bb@JH@`Jw_X`	25169529	25169529	(3R,5S)-N-[5-[(5-tert-butyl-2-oxazolyl)methylthio]-2-thiazolyl]-5-methyl-3-piperidinecarboxamide	(3R,5S)-N-[5-[(5-tert-butyl-1,3-oxazol-2-yl)methylsulfanyl]-1,3-thiazol-2-yl]-5-methyl-piperidine-3-carboxamide	InChI=1S/C18H26N4O2S2/c1-11-5-12(7-19-6-11)16(23)22-17-21-9-15(26-17)25-10-14-20-8-13(24-14)18(2,3)4/h8-9,11-12,19H,5-7,10H2,1-4H3,(H,21,22,23)/t11-,12+/m0/s1	SSMMYRQDZBSVCY-NWDGAFQWSA-N	394.149718	C18H26N4O2S2	394.55464	0	409968	13	25169529		
fegHa@LD|FS`AE@cIEELmEhhdddkIadRisSSSUSUUUThUHh@ !Bs}ITaDz@mwv@LWvH?g|lFHa}mwv@L_y?mpITa@Jwmwvw_]CMpJZw@k\Bb@JH@`Jw_X`	25169528	25169528	(3R,5R)-N-[5-[(5-tert-butyl-2-oxazolyl)methylthio]-2-thiazolyl]-5-methyl-3-piperidinecarboxamide	(3R,5R)-N-[5-[(5-tert-butyl-1,3-oxazol-2-yl)methylsulfanyl]-1,3-thiazol-2-yl]-5-methyl-piperidine-3-carboxamide	InChI=1S/C18H26N4O2S2/c1-11-5-12(7-19-6-11)16(23)22-17-21-9-15(26-17)25-10-14-20-8-13(24-14)18(2,3)4/h8-9,11-12,19H,5-7,10H2,1-4H3,(H,21,22,23)/t11-,12-/m1/s1	SSMMYRQDZBSVCY-VXGBXAGGSA-N	394.149718	C18H26N4O2S2	394.55464	0	409968	8	25169528		
fi{Ha@LD|FS`AE@cIEELmEhhddlYLLbUNZZZZjZjjjXJh@@ !Bs}ITaDz@mwv@LWvH?g|lFHa}mwv@L_y?mpITa@Jwmwvw_]CMpJZw@h`Bb@HBmwvH	5329921	5329921	N-[5-[(5-tert-butyl-2-oxazolyl)methylthio]-2-thiazolyl]-3-piperidinecarboxamide	N-[5-[(5-tert-butyl-1,3-oxazol-2-yl)methylsulfanyl]-1,3-thiazol-2-yl]piperidine-3-carboxamide	InChI=1S/C17H24N4O2S2/c1-17(2,3)12-8-19-13(23-12)10-24-14-9-20-16(25-14)21-15(22)11-5-4-6-18-7-11/h8-9,11,18H,4-7,10H2,1-3H3,(H,20,21,22)	USAKOZCUIYTREA-UHFFFAOYSA-N	380.134068	C17H24N4O2S2	380.52806	0	409968	44	5329921		
fi{Ha@LD|VS`AE@cIEELmEhhddlYLLbUNZZZZjZjjjP@@ !BYuMeXF\l?g|lFG?~bOwMtH`B?g|lFHa}mwueX@C~?g?~_q`lFfBw?_x@?`@@?g?~	3025986	3025986	N-[5-[(5-tert-butyl-2-oxazolyl)methylthio]-2-thiazolyl]-4-piperidinecarboxamide	N-[5-[(5-tert-butyl-1,3-oxazol-2-yl)methylsulfanyl]-1,3-thiazol-2-yl]piperidine-4-carboxamide	InChI=1S/C17H24N4O2S2/c1-17(2,3)12-8-19-13(23-12)10-24-14-9-20-16(25-14)21-15(22)11-4-6-18-7-5-11/h8-9,11,18H,4-7,10H2,1-3H3,(H,20,21,22)	OUSFTKFNBAZUKL-UHFFFAOYSA-N	380.134068	C17H24N4O2S2	380.52806	1	409968	94	3025986		
fi{Q`@DAA{NQQQQKYJJIYPiLDdoQmTuU@pP@P@@@	24779712	24779712	N-hydroxy-3-[1-[2-(2-naphthalenyl)ethyl]-6-oxo-2,3-dihydropyridin-5-yl]propanamide	3-[1-(2-naphthalen-2-ylethyl)-6-oxidanylidene-2,3-dihydropyridin-5-yl]-N-oxidanyl-propanamide	InChI=1S/C20H22N2O3/c23-19(21-25)10-9-17-6-3-12-22(20(17)24)13-11-15-7-8-16-4-1-2-5-18(16)14-15/h1-2,4-8,14,25H,3,9-13H2,(H,21,23)	BCTKRMDISVXKHP-UHFFFAOYSA-N	338.163	C20H22N2O3	338.4	0	568160	10.3			
fakQ`@D^@yNQQQSYIQQKJEHcHy[ujfj`XH@H@@@ !BaEPq`LBYtMJw@`JHtl~w?X@qmpKRs{_}?`ASYx@qmpJw@mKO?`BOpx?\SwqO@p	11381744	11381744	N-hydroxy-3-[1-[2-(2-naphthalenyl)ethyl]-5-oxo-2H-pyrrol-4-yl]propanamide	3-[1-(2-naphthalen-2-ylethyl)-5-oxidanylidene-2H-pyrrol-4-yl]-N-oxidanyl-propanamide	InChI=1S/C19H20N2O3/c22-18(20-24)8-7-16-10-12-21(19(16)23)11-9-14-5-6-15-3-1-2-4-17(15)13-14/h1-6,10,13,24H,7-9,11-12H2,(H,20,22)	PJBHOBZVDNVQHI-UHFFFAOYSA-N	324.147393	C19H20N2O3	324.3737	0	568160	29.7	11381744		
fi{Q`@DNAZJSLwjlvoZdYdoQmTuULD@@P@@@ !BaBlqo|BftLvw?PJwtmBw@hANm?wRtK\BTqb@Sk_}?`CRtK\BmpK~@H?Cc}qO_D|C	11244651	11244651	N-hydroxy-3-[1-[3-(2-naphthalenyl)propyl]-5-oxo-2H-pyrrol-4-yl]propanamide	3-[1-(3-naphthalen-2-ylpropyl)-5-oxidanylidene-2H-pyrrol-4-yl]-N-oxidanyl-propanamide	InChI=1S/C20H22N2O3/c23-19(21-25)10-9-17-11-13-22(20(17)24)12-3-4-15-7-8-16-5-1-2-6-18(16)14-15/h1-2,5-8,11,14,25H,3-4,9-10,12-13H2,(H,21,23)	ZIQAJFVTKUTVEP-UHFFFAOYSA-N	338.163043	C20H22N2O3	338.40028	0	568160	43.1	11244651		
fakQ`@D^@{NQQQSYIQQQYQTcDe[ujfj`XB@H@@@ !BGvUgKFT_YuO~@G?~KF^w@lwO?`@lY{\Bb@J@SlwO?`BOp?x@KF^H@h?\SwqO@p	11151483	11151483	N-hydroxy-3-[1-[2-(1-naphthalenyl)ethyl]-5-oxo-2H-pyrrol-4-yl]propanamide	3-[1-(2-naphthalen-1-ylethyl)-5-oxidanylidene-2H-pyrrol-4-yl]-N-oxidanyl-propanamide	InChI=1S/C19H20N2O3/c22-18(20-24)9-8-16-11-13-21(19(16)23)12-10-15-6-3-5-14-4-1-2-7-17(14)15/h1-7,11,24H,8-10,12-13H2,(H,20,22)	WECYIYRYWIRGOO-UHFFFAOYSA-N	324.147393	C19H20N2O3	324.3737	0	568160	3.9	11151483		
